Timestamp,Q1. Select your Age ,  Q2. Current education level  ,  Q3. Average daily screen time (in hours)  ,  Q4. Average daily social media usage (hours)  ,  Q5. Average daily gaming time (hours)  , Q6. Do you use your phone before sleeping?  ,Q7. How many times do you check your phone per day?  , Q8. Average sleep duration per night  ,Q9. I use my smartphone longer than intended  ,Q10. I feel restless or anxious when I cannot use my phone  ,  Q11. My smartphone use affects my sleep  ,Q12. I find it difficult to reduce my smartphone usage  ,Q13. I miss important academic tasks due to smartphone use  ,Q14. I use my phone during study time  ,Q15. My academic performance has been affected by smartphone use  ,Q16. I feel distracted in class due to smartphone use  ,Q17. Current academic percentage / GPA  ,Q18. Average study time per day (excluding school hours)  ,Q19. Attendance percentage  ,Q20. How often do you have difficulty concentrating on studies?  ,Q21. Have your academic grades decreased in the past year?  
2/27/2026 22:29:23,15,Grade 11,2–4 hours,1–3 hours,None,Often,20–50,6–7 hours,3,1,2,2,2,3,2,1,80–90%,1–2 hours,60–75%,2,No
2/27/2026 22:51:12,16,Grade 12,6–8 hours,1–3 hours,None,Always,Less than 20,More than 8 hours,4,1,3,1,2,5,3,1,70–80%,Less than 1 hour,Less than 60%,2,No
2/28/2026 7:11:44,18,First year college,6–8 hours,3–5 hours,Less than 1 hour,Always,Less than 20,7–8 hours,4,3,1,4,4,4,4,4,60–70%,1–2 hours,Above 90%,3,No
2/28/2026 8:09:32,15,Grade 10,2–4 hours,1–3 hours,None,Often,Less than 20,5–6 hours,2,2,3,4,4,3,4,4,70–80%,More than 4 hours,75–90%,4,Yes
2/28/2026 9:33:01,16,Grade 11,6–8 hours,3–5 hours,None,Always,50–100,7–8 hours,3,1,3,3,1,5,1,1,70–80%,2–4 hours,75–90%,1,Yes
2/28/2026 9:43:43,15,Grade 11,Less than 2 hours,1–3 hours,None,Sometimes,Less than 20,More than 8 hours,2,1,1,1,1,2,1,1,70–80%,2–4 hours,Above 90%,3,No
2/28/2026 9:44:58,16,Grade 11,6–8 hours,More than 5 hours,1–3 hours,Often,50–100,6–7 hours,3,2,1,3,4,5,5,5,80–90%,2–4 hours,Above 90%,3,No
2/28/2026 10:02:28,14,Grade 8,2–4 hours,1–3 hours,1–3 hours,Sometimes,20–50,6–7 hours,3,3,3,3,3,3,3,3,70–80%,2–4 hours,75–90%,3,No
2/28/2026 10:03:22,,,,,,,,,,,,,,,,,,,,,
2/28/2026 10:13:14,15,First year college,2–4 hours,1–3 hours,Less than 1 hour,Often,Less than 20,5–6 hours,4,3,2,3,1,2,2,1,Above 90%,2–4 hours,Above 90%,2,No
2/28/2026 12:09:00,16,Grade 11,6–8 hours,3–5 hours,None,Often,20–50,6–7 hours,2,2,5,4,4,3,3,3,Above 90%,1–2 hours,75–90%,3,Not sure
